track_id,time_signature,chorus_hit,sections,target,popularity,genre,track,artist,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,era,Genre API
78lRnpdXrfyzxTa4RxnuAt,4.0,58.18949,10.0,1.0,,,When I'm Dead And Gone,McGuinness Flint,221787.0,0.511,0.689,D,-14.63,major,0.0304,0.468,4.15e-05,0.0325,0.959,144.614,70s,classic uk pop
11FcfHd3SOmmrWJPGe7Y30,4.0,35.34507,13.0,1.0,,,Don't Let The Sun Go Down On Me,George Michael/Elton John,336733.0,0.424,0.446,C,-8.526,major,0.0261,0.121,1.89e-06,0.0921,0.354,139.701,90s,"glam rock, mellow gold, piano rock, rock"
20Bz4OvDgWmUb0QpATGQiS,4.0,29.60096,9.0,0.0,,,Sacco und Vanzetti,Franz Josef Degenhardt,196507.0,0.538,0.295,G,-14.412,major,0.0477,0.7,0.0,0.119,0.398,112.751,70s,"kabarett, liedermacher"
4kWG1fvDl8uCtPyn59Zhwi,4.0,31.60823,8.0,0.0,,,Cançó al Cor,Falsterbo 3,130333.0,0.39,0.367,G,-9.937,major,0.0266,0.679,9.39e-06,0.121,0.331,98.802,70s,nova canco
7MRCd5tmZ2iURu4elcBsuH,4.0,19.73058,9.0,1.0,,,You Gonna Make Me Love Somebody Else,The Jones Girls,270787.0,0.8,0.72,C# / Db,-7.839,minor,0.051,0.251,0.0127,0.0866,0.955,105.677,70s,"classic soul, disco, funk, philly soul, post-disco, quiet storm"
5MasqmZwaceV2LVfO0rv07,5.0,35.74729,15.0,0.0,,,Staunen im Fjord,Roedelius,216507.0,0.274,0.331,C# / Db,-12.188,major,0.04,0.983,0.912,0.102,0.112,144.389,70s,"berlin school, fourth world, krautrock"
33DJYW4tkKxMZqTjJtYEam,4.0,47.67793,10.0,1.0,,,Sweet Summer Music,Attitudes,224053.0,0.654,0.609,A,-8.583,major,0.0373,0.201,0.000687,0.0429,0.839,125.073,70s,yacht rock
7dL8FCLzEaWC2A3qWQuz1q,4.0,21.41563,11.0,1.0,,,What You Won't Do For Love,Bobby Caldwell,286493.0,0.642,0.397,F# / Gb,-16.842,major,0.0639,0.461,0.000834,0.106,0.798,84.064,70s,yacht rock
3j8xsPnIX77j4VhgYlroOA,4.0,34.90318,12.0,1.0,,,Reach For It,George Duke,293973.0,0.753,0.587,G,-8.932,major,0.0563,0.0151,0.00336,0.0374,0.747,88.188,70s,"jazz funk, jazz fusion, jazz piano, smooth jazz"
6pfW8yRHENb3f04VEMcF6z,4.0,52.19855,12.0,1.0,,,Superman,Celi Bee & The Buzzy Bunch,307800.0,0.839,0.514,C,-7.466,major,0.0429,0.00982,0.0684,0.184,0.961,118.439,70s,deep disco
1kzfq7pofurMjxbB623f19,4.0,93.96398,7.0,1.0,,,Where Are You Going To My Love,The Brotherhood Of Man,178986.0,0.217,0.432,C,-12.447,major,0.0348,0.0835,0.0,0.262,0.29,179.593,70s,"bubblegum pop, classic uk pop, merseybeat"
4DHzUFdHMJRouGGJ4XqrKQ,4.0,56.24051,4.0,0.0,,,"Planes, Boats and Trains",Andrew Jackman,95973.0,0.677,0.611,B,-9.9,minor,0.033,0.454,0.907,0.163,0.41,102.966,70s,
58OhirsZcE9mUkNFDli8AN,4.0,52.81298,4.0,0.0,,,M-16,Negative Trend,96280.0,0.141,0.839,C# / Db,-7.641,minor,0.097,0.000942,0.777,0.309,0.504,199.65,70s,early us punk
2GLnxNLB83jsC3T3RF2XBW,4.0,37.95199,8.0,1.0,,,The Lord's Prayer,Sister Janet Mead,186000.0,0.64,0.395,E,-11.628,minor,0.032,0.65,0.0408,0.248,0.633,124.164,70s,
7gf0RdxRbZVpnQqs9V84BJ,4.0,53.22422,12.0,1.0,,,Survivor,Cindy Bullens,265367.0,0.62,0.693,A,-7.367,major,0.0338,0.0842,0.000165,0.066,0.778,128.937,70s,
4bYpOfPbNe6J8X7ZzPNrA6,3.0,61.09745,11.0,1.0,,,"Try Some, Buy Some",Ronnie Spector,252880.0,0.322,0.464,D,-10.453,minor,0.0302,0.116,1.75e-06,0.18,0.245,121.417,70s,brill building pop
1cSn7YyTn523mnxtOZXRYA,4.0,84.73236,9.0,1.0,,,The Message,Cymande,257760.0,0.781,0.695,D# / Eb,-9.911,major,0.052,0.202,0.448,0.121,0.921,87.371,70s,"afrobeat, funk, jazz funk, psychedelic soul"
3hgvG5RmjFy27sEaLIWycZ,4.0,0.0,2.0,0.0,,,Planet Hot Dog,Cast,92373.0,0.696,0.525,D,-10.781,major,0.0355,0.368,0.000276,0.654,0.881,90.973,70s,
0He4KghG2vD1dYNbKOCyaF,4.0,28.6967,11.0,1.0,,,Kiss In The Dark,Pink Lady,200573.0,0.66,0.904,G,-5.711,minor,0.0602,0.275,0.00228,0.338,0.963,127.337,70s,kayokyoku
79iMgy53VgQL9Rrc1wizM9,4.0,67.73457,8.0,1.0,,,Since You've Been Gone,Cherie & Marie Currie,220533.0,0.759,0.625,G,-10.025,major,0.0353,0.0762,0.0,0.195,0.842,121.517,70s,
6S2yygif19aG4J0tLET53g,4.0,22.47803,7.0,1.0,,,Slippin' Away,Jean Shepard,149800.0,0.737,0.483,F,-8.389,major,0.0281,0.811,2.17e-06,0.196,0.802,113.365,70s,"bakersfield sound, classic oklahoma country, western swing"
3bCI7TsQp20NcRVvTwJWWv,4.0,33.6725,9.0,1.0,,,I Don't Need No Doctor,New Riders Of The Purple Sage,186600.0,0.514,0.86,C,-8.669,major,0.0541,0.25,0.0,0.228,0.812,171.828,70s,"cosmic american, country rock, folk, jam band, singer-songwriter, southern rock"
1P8lIrb4yLlg1nzAjhhcfi,4.0,44.17107,10.0,1.0,,,Scorpio,Dennis Coffey & The Detroit Guitar Band,260843.0,0.696,0.631,B,-15.944,minor,0.0821,0.404,0.89,0.148,0.641,118.966,70s,
6x7zqY521TZJwwUYlElZoq,4.0,39.23421,8.0,1.0,,,I Will Be In Love With You,Livingston Taylor,211893.0,0.635,0.423,G,-11.684,major,0.0279,0.331,3.69e-06,0.0937,0.641,111.548,70s,audiophile vocal
3gLYqxcJ7zgUHd7dyocSAm,4.0,70.47478,8.0,1.0,,,"If It Feels Good, Do It",Ian Lloyd & Stories,171200.0,0.554,0.89,A# / Bb,-9.931,major,0.0598,0.298,0.0,0.392,0.6,87.122,70s,
6X6o9mmX7P9adZMDY2SLOw,4.0,37.84881,8.0,1.0,,,Outlaw Man,David Blue,169720.0,0.554,0.629,C,-11.201,major,0.0525,0.00916,0.0,0.135,0.73,100.076,70s,american folk revival
5SpQ2fkvccJENtSAg1drNl,4.0,33.17556,8.0,1.0,,,Painted Ladies,Ian Thomas,253003.0,0.523,0.389,E,-10.754,minor,0.0295,0.566,1.02e-06,0.215,0.138,119.983,70s,yacht rock
3tzX1d92icXqxwVqEntVQF,4.0,21.18069,8.0,0.0,,,Righteous Rocker - Hard Rock Version - Bonus Track,Larry Norman,260600.0,0.66,0.838,G,-9.728,major,0.0531,0.202,0.000723,0.0835,0.852,90.644,70s,"deep christian rock, jesus movement"
1I1DSbD3OWdyypxLJ65MWu,4.0,46.02827,8.0,1.0,,,Wedding Song (There Is Love),Paul Stookey,198751.0,0.507,0.438,G,-11.011,major,0.0283,0.155,8.63e-06,0.309,0.29,153.247,70s,
3NWpG50DNlO8IiVdx6Ig3w,4.0,25.1307,13.0,1.0,,,Dead Skunk,Loudon Wainwright III,185733.0,0.633,0.655,G,-11.514,major,0.0312,0.617,2.79e-06,0.113,0.967,146.868,70s,"folk, singer-songwriter"
5eEfFfQq3ruywWA5uw7nhj,3.0,75.23604,7.0,0.0,,,Amor Meu Grande Amor,Angela Ro Ro,195320.0,0.455,0.442,A,-7.793,major,0.0815,0.717,0.0,0.233,0.252,173.672,70s,"bossa nova, mpb, samba, velha guarda"
0ntV55n5Bm4TF0nkLNjTBt,4.0,32.48138,9.0,1.0,,,Fresh As A Daisy,Emitt Rhodes,171960.0,0.642,0.498,C,-10.149,major,0.0298,0.137,0.0509,0.0787,0.395,117.314,70s,beatlesque
1rvvzcLXlcWhJHOzjoTrOV,4.0,72.44069,8.0,1.0,,,Howzat,Sherbet,225560.0,0.405,0.703,F,-4.717,major,0.0348,0.43,1.03e-05,0.135,0.651,108.855,70s,australian rock
6xq5DxZWGgdStAxGAil0yw,4.0,36.01987,9.0,1.0,,,Since You Been Gone,Rainbow,197160.0,0.733,0.726,G,-6.514,major,0.0371,0.379,2.58e-06,0.471,0.915,120.814,70s,"album rock, classic rock, glam metal, hard rock, metal, rock"
4QkvD9y6uxmjIQerm95lj2,4.0,39.64941,8.0,0.0,,,Forming,Germs,185720.0,0.395,0.94,F# / Gb,-6.295,major,0.0533,0.0635,0.000121,0.111,0.528,133.099,70s,"early us punk, hardcore punk, punk"
3bRJCfoe5Tj4KFCaPkoYqk,4.0,58.11535,8.0,1.0,,,If We Only Have Love,Dionne Warwicke,259667.0,0.263,0.281,A,-12.122,major,0.0334,0.858,0.000324,0.0667,0.133,79.071,70s,"adult standards, brill building pop, disco, quiet storm, soft rock, soul, vocal jazz"
5IjKLh01upJs2TcQnP7oCV,4.0,60.93589,6.0,1.0,,,Hold On,Ian Gomm,184053.0,0.568,0.524,D,-14.795,minor,0.029,0.0808,0.000219,0.12,0.796,119.577,70s,pub rock
7GlVNEQRWeVFqbuSBlc9zB,4.0,40.97457,9.0,1.0,,,So Close,Jake Holmes,216480.0,0.404,0.419,D,-8.995,major,0.0296,0.301,0.25,0.171,0.524,142.509,70s,cosmic american
0DXk3raE35Dp9wB44hZAvf,4.0,37.4936,26.0,0.0,,,Night In Tunisia,Clifford Brown,660227.0,0.498,0.689,D,-10.731,major,0.0544,0.594,3.58e-05,0.612,0.748,93.385,70s,"bebop, hard bop, jazz, jazz trumpet"
4cPgzpdeKtOkgBYqHNLe9P,4.0,48.64395,17.0,1.0,,,That's Your Secret,Sea Level,316600.0,0.631,0.833,A,-8.695,minor,0.0286,0.169,0.0222,0.0745,0.901,126.041,70s,"southern rock, yacht rock"
4lteGaLzU5veJOe6wnOvz4,4.0,62.96346,14.0,1.0,,,Dancer,Gino Soccio,508120.0,0.896,0.339,B,-9.576,minor,0.0884,0.0183,0.552,0.0311,0.389,122.106,70s,"deep disco, disco, italian disco, post-disco"
5po2HCMZvJ0aPSxRRGKm3p,4.0,21.69048,11.0,1.0,,,Substitute,Clout,209187.0,0.703,0.726,E,-7.089,major,0.0245,0.0108,0.0,0.161,0.785,103.019,70s,classic uk pop
5dj1iHrSoEKheazA32u3os,4.0,28.74442,8.0,0.0,,,Pra Swingar,Som Nosso,151160.0,0.671,0.886,D,-8.411,major,0.0483,0.00664,0.00427,0.055,0.797,101.197,70s,"brazilian boogie, brazilian soul, samba-rock"
46m9sl1noCKcqwhSHQ9Mdz,3.0,35.31945,12.0,0.0,,,Love Bug,Lightnin' Slim,226467.0,0.465,0.304,C,-10.498,major,0.0432,0.679,0.195,0.326,0.381,171.335,70s,"blues, harmonica blues, louisiana blues, swamp blues, traditional blues"
7t2f1gWdQgTSkKazpK6nJI,3.0,55.96174,6.0,0.0,,,Lullaby,Nicola Piovani,123067.0,0.236,0.186,C,-20.559,major,0.0384,0.923,0.963,0.108,0.0655,80.766,70s,italian soundtrack
3mnWnhjv2xkINMC48bHWTx,4.0,18.6256,10.0,1.0,,,You Can Do Magic,Limmie & Family Cookin',177006.0,0.721,0.738,C,-4.476,major,0.0415,0.556,0.0,0.144,0.796,124.513,70s,
1qasZQjHj5Toth6lw0aX3m,4.0,61.59319,7.0,1.0,,,Dance Across The Floor,"Jimmy ""Bo"" Horne",160920.0,0.611,0.962,C# / Db,-6.66,major,0.1,0.0364,0.0,0.28,0.635,112.478,70s,deep disco
5d91gYhpa5j11JKx2fgWHx,4.0,80.63792,17.0,1.0,,,In The Bush,Musique,485800.0,0.821,0.648,C,-11.947,major,0.0541,0.000269,0.758,0.0417,0.961,131.63,70s,"deep disco, disco, post-disco"
7H1Sowczuu33E32RWmuoar,4.0,36.95584,11.0,1.0,,,Sugar Baby Love,The Rubettes,209893.0,0.424,0.768,C,-9.04,major,0.045,0.000303,0.0181,0.363,0.791,129.694,70s,"classic uk pop, glam rock"
28VIp0xjj38U6ePrTzVLFe,4.0,28.45473,8.0,0.0,,,The Punk,Cherry Vanilla,162533.0,0.402,0.91,B,-8.946,major,0.0373,0.103,0.00774,0.257,0.834,152.833,70s,"deep punk rock, glam rock"
7d8DvrdW2u2QIpx5NpM6es,4.0,45.96731,28.0,1.0,,,Hot Shot,Karen Young,518067.0,0.768,0.664,G,-14.292,major,0.0553,0.023,0.0503,0.213,0.943,120.288,70s,deep disco
6bI2fqW6NXFr9RMOWf5OEC,4.0,36.89979,6.0,0.0,,,God Gave Rock and Roll to You - Reprise Version,Petra,172160.0,0.334,0.464,D# / Eb,-14.619,major,0.0471,0.178,0.0,0.0515,0.652,168.062,70s,"christian alternative rock, christian metal, christian music, jesus movement, rock cristiano"
