Unnamed: 0,track,artist,track_id,danceability_x,energy_x,key_x,loudness_x,mode_x,speechiness_x,acousticness_x,instrumentalness_x,liveness_x,valence_x,tempo_x,duration_ms,time_signature,chorus_hit,sections,target,era,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability_y,energy_y,key_y,loudness_y,mode_y,speechiness_y,acousticness_y,instrumentalness_y,liveness_y,valence_y,tempo_y,playlist_id,playlist_name,duration_mins,genre
37644,Cinema - Skrillex Remix,Benny Benassi,0qU2KlUjsiSUHgyUdLSxos,0.636,0.987,F# / Gb,-3.803,minor,0.188,0.00987,0.00992,0.0691,0.414,145.061,307893,4,41.20527,11,0,10s,,,,,,,,,,,,,,,,,,,,,,
37647,Play No Games,Big Sean Featuring Chris Brown & Ty Dolla $ign,3rsOs39rDAYxIOrDTHAgR9,0.755,0.7,C# / Db,-3.586,major,0.0455,0.0846,0.0,0.452,0.383,81.514,216653,4,62.71197,11,1,10s,,,,,,,,,,,,,,,,,,,,,,
37648,The Way We Move,Langhorne Slim,40rjypnguxfhPy4Bbv5SWc,0.539,0.836,B,-5.365,major,0.0654,0.217,0.000168,0.303,0.759,135.596,168760,4,29.37391,9,0,10s,,,,,,,,,,,,,,,,,,,,,,
37649,Battery,Pagandom,08YuO5IDuS1e2E2DOCbj7V,0.599,0.825,F# / Gb,-9.688,minor,0.0345,8.93e-05,0.0803,0.043,0.56,97.03,273427,4,45.47904,12,0,10s,,,,,,,,,,,,,,,,,,,,,,
37650,"Dance, Dance, Dance - Live",Eure Mütter,2QZ4cg6qLN2NtSPJh9Hl3k,0.551,0.925,A,-3.96,minor,0.372,0.234,0.0,0.196,0.566,165.061,280267,4,26.56564,12,0,10s,,,,,,,,,,,,,,,,,,,,,,
37653,Remind Me To Forget,Kygo Featuring Miguel,5sIx4BlfYGuZeSLF40N9GH,0.685,0.508,C,-6.4,major,0.0987,0.193,0.0,0.139,0.315,99.063,217287,4,23.88762,11,1,10s,,,,,,,,,,,,,,,,,,,,,,
37654,Gilla min grej - Acoustic Version,Rivstart,1ecgVs9p4gEnIa6eI5qEaR,0.713,0.82,A# / Bb,-6.955,major,0.131,0.0164,0.0,0.182,0.582,130.032,201126,4,30.50084,10,0,10s,,,,,,,,,,,,,,,,,,,,,,
37655,Too Close,Alex Clare,4sK96UnGx3NjBaqvfTG2dm,0.584,0.712,B,-4.311,minor,0.0395,0.0112,1.05e-06,0.114,0.286,126.043,256560,4,108.0421,9,1,10s,,,,,,,,,,,,,,,,,,,,,,
37663,Goodness of God (feat. Vertical Worship),one sonic society,1UOzgUuakMRQcKVTUTU6Pu,0.255,0.674,D,-7.147,major,0.0474,0.166,0.0,0.624,0.184,136.101,287612,4,56.37155,10,0,10s,,,,,,,,,,,,,,,,,,,,,,
37667,Doyin,Mr Eazi,71iknvVFjHMMs0nit8eh2M,0.683,0.688,A,-4.751,minor,0.224,0.00659,5.5e-06,0.0947,0.41,105.999,153962,4,30.29521,8,0,10s,,,,,,,,,,,,,,,,,,,,,,
