title,artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Flossin',Internet Money feat. YoungBoy Never Broke Again,3zDMTxEANpj6hedyCrHXBg,0.713,0.57,2,-8.126,1,0.113,0.0425,0.0,0.131,0.155,159.99,audio_features,3zDMTxEANpj6hedyCrHXBg,spotify:track:3zDMTxEANpj6hedyCrHXBg,https://api.spotify.com/v1/tracks/3zDMTxEANpj6hedyCrHXBg,https://api.spotify.com/v1/audio-analysis/3zDMTxEANpj6hedyCrHXBg,168000,4
Honest,Justin Bieber ,2KdKh9vHbKW0tZLqtpxxI0,0.81,0.655,8,-6.779,0,0.0698,0.127,8.16e-05,0.105,0.809,150.002,audio_features,2KdKh9vHbKW0tZLqtpxxI0,spotify:track:2KdKh9vHbKW0tZLqtpxxI0,https://api.spotify.com/v1/tracks/2KdKh9vHbKW0tZLqtpxxI0,https://api.spotify.com/v1/audio-analysis/2KdKh9vHbKW0tZLqtpxxI0,193322,4
Premonition (Intro),Eminem,7ccTcabbJlCJiIqtrSSwBk,0.847,0.637,1,-5.193,1,0.367,0.0258,0.000648,0.382,0.511,165.979,audio_features,7ccTcabbJlCJiIqtrSSwBk,spotify:track:7ccTcabbJlCJiIqtrSSwBk,https://api.spotify.com/v1/tracks/7ccTcabbJlCJiIqtrSSwBk,https://api.spotify.com/v1/audio-analysis/7ccTcabbJlCJiIqtrSSwBk,173893,4
Franchise,Travis Scott feat. Young Thug ,4jVBIpuOiMj1crqd8LoCrJ,0.835,0.699,8,-5.405,0,0.277,0.00671,0.0,0.195,0.547,154.981,audio_features,4jVBIpuOiMj1crqd8LoCrJ,spotify:track:4jVBIpuOiMj1crqd8LoCrJ,https://api.spotify.com/v1/tracks/4jVBIpuOiMj1crqd8LoCrJ,https://api.spotify.com/v1/audio-analysis/4jVBIpuOiMj1crqd8LoCrJ,202795,4
Getting Older,Billie Eilish,4HOryCnbme0zBnF8LWij3f,0.599,0.128,10,-17.261,1,0.109,0.974,0.121,0.115,0.367,159.679,audio_features,4HOryCnbme0zBnF8LWij3f,spotify:track:4HOryCnbme0zBnF8LWij3f,https://api.spotify.com/v1/tracks/4HOryCnbme0zBnF8LWij3f,https://api.spotify.com/v1/audio-analysis/4HOryCnbme0zBnF8LWij3f,244221,4
Like It's Christmas,Jonas Brothers,03JvXDknsAUhxhDjqtWryS,0.725,0.571,1,-6.007,1,0.103,0.0182,0.0,0.0519,0.609,146.035,audio_features,03JvXDknsAUhxhDjqtWryS,spotify:track:03JvXDknsAUhxhDjqtWryS,https://api.spotify.com/v1/tracks/03JvXDknsAUhxhDjqtWryS,https://api.spotify.com/v1/audio-analysis/03JvXDknsAUhxhDjqtWryS,200880,4
Woods,Mac Miller,3Qa944OTMZkg8DHjET8JQv,0.779,0.362,0,-10.847,1,0.0474,0.135,0.206,0.111,0.46,85.011,audio_features,3Qa944OTMZkg8DHjET8JQv,spotify:track:3Qa944OTMZkg8DHjET8JQv,https://api.spotify.com/v1/tracks/3Qa944OTMZkg8DHjET8JQv,https://api.spotify.com/v1/audio-analysis/3Qa944OTMZkg8DHjET8JQv,286387,4
Without You,The Kid LAROI,1KMkcUvF7m3SDChDOa7i5L,0.662,0.413,0,-7.357,1,0.0299,0.213,0.0,0.134,0.467,93.005,audio_features,1KMkcUvF7m3SDChDOa7i5L,spotify:track:1KMkcUvF7m3SDChDOa7i5L,https://api.spotify.com/v1/tracks/1KMkcUvF7m3SDChDOa7i5L,https://api.spotify.com/v1/audio-analysis/1KMkcUvF7m3SDChDOa7i5L,161385,4
Mr. Jones,Pop Smoke feat. Future,3Zg68ElzsOAHABZsfXlljo,0.795,0.582,0,-7.365,0,0.054,0.275,0.0,0.239,0.778,134.055,audio_features,3Zg68ElzsOAHABZsfXlljo,spotify:track:3Zg68ElzsOAHABZsfXlljo,https://api.spotify.com/v1/tracks/3Zg68ElzsOAHABZsfXlljo,https://api.spotify.com/v1/audio-analysis/3Zg68ElzsOAHABZsfXlljo,214925,4
Lotus,Lil Uzi Vert,4SnlSaLJJ7reJMCHM5YUuX,0.802,0.748,8,-5.708,1,0.207,0.24,0.0,0.165,0.516,150.063,audio_features,4SnlSaLJJ7reJMCHM5YUuX,spotify:track:4SnlSaLJJ7reJMCHM5YUuX,https://api.spotify.com/v1/tracks/4SnlSaLJJ7reJMCHM5YUuX,https://api.spotify.com/v1/audio-analysis/4SnlSaLJJ7reJMCHM5YUuX,193861,4
Do It On The Tip,Megan Thee Stallion feat. City Girls ,2993VQSr7a2Dj5hI5xcWG0,0.943,0.528,0,-8.631,1,0.299,0.00291,0.0,0.0858,0.608,97.542,audio_features,2993VQSr7a2Dj5hI5xcWG0,spotify:track:2993VQSr7a2Dj5hI5xcWG0,https://api.spotify.com/v1/tracks/2993VQSr7a2Dj5hI5xcWG0,https://api.spotify.com/v1/audio-analysis/2993VQSr7a2Dj5hI5xcWG0,167370,4
Moth To A Flame,Swedish House Mafia ,0VO8gYVDSwM1Qdd2GsMoYK,0.553,0.659,8,-7.295,1,0.0391,0.0027,0.0,0.105,0.105,120.146,audio_features,0VO8gYVDSwM1Qdd2GsMoYK,spotify:track:0VO8gYVDSwM1Qdd2GsMoYK,https://api.spotify.com/v1/tracks/0VO8gYVDSwM1Qdd2GsMoYK,https://api.spotify.com/v1/audio-analysis/0VO8gYVDSwM1Qdd2GsMoYK,234000,4
Humble,Lil Baby,6heRfvHrUIIPx9TqRg8SCq,0.554,0.614,5,-5.715,1,0.44,0.17,0.0,0.267,0.372,80.028,audio_features,6heRfvHrUIIPx9TqRg8SCq,spotify:track:6heRfvHrUIIPx9TqRg8SCq,https://api.spotify.com/v1/tracks/6heRfvHrUIIPx9TqRg8SCq,https://api.spotify.com/v1/audio-analysis/6heRfvHrUIIPx9TqRg8SCq,191583,4
