track_id,time_signature,chorus_hit,sections,target,popularity,genre,track,artist,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,era,Genre API
1dtKN6wwlolkM8XZy2y9C1,3.0,32.94975,9.0,1.0,,,Jealous Kind Of Fella,Garland Green,173533.0,0.417,0.62,D# / Eb,-7.727,major,0.0403,0.49,0.0,0.0779,0.845,185.655,60s,"chicago soul, classic soul, southern soul"
5hjsmSnUefdUqzsDogisiX,4.0,48.8251,10.0,0.0,,,Initials B.B.,Serge Gainsbourg,213613.0,0.498,0.505,D# / Eb,-12.475,major,0.0337,0.018,0.107,0.176,0.797,101.801,60s,"chanson, french rock"
6uk8tI6pwxxdVTNlNOJeJh,4.0,37.22663,12.0,0.0,,,Melody Twist,Lord Melody,223960.0,0.657,0.649,F,-13.392,major,0.038,0.846,4.42e-06,0.119,0.908,115.94,60s,calypso
7aNjMJ05FvUXACPWZ7yJmv,4.0,24.75484,8.0,0.0,,,Mi Bomba Sonó,Celia Cruz,157907.0,0.59,0.545,G,-12.058,minor,0.104,0.706,0.0246,0.061,0.967,105.592,60s,"cha-cha-cha, cuban rumba, mambo, musica tradicional cubana, salsa"
1rQ0clvgkzWr001POOPJWx,4.0,21.79874,14.0,0.0,,,Uravu Solla,P. Susheela,245600.0,0.515,0.765,B,-3.515,minor,0.124,0.857,0.000872,0.213,0.906,114.617,60s,"filmi, vintage tollywood"
32VBSoD2vcoIOiPEvAfFXU,4.0,65.48604,7.0,0.0,,,Beat n. 3,Ennio Morricone,167667.0,0.697,0.673,C,-10.573,major,0.0266,0.714,0.919,0.122,0.778,112.117,60s,"classic soundtrack, italian soundtrack, orchestral soundtrack, vintage italian soundtrack"
62eoocmGk59EMfuRcLBvUL,4.0,47.82155,7.0,0.0,,,Samba De Uma Nota So (One Note Samba),Antônio Carlos Jobim,134360.0,0.662,0.272,C,-18.883,major,0.0313,0.36,0.228,0.0963,0.591,143.507,60s,"bossa nova, brazilian classical, brazilian jazz, latin classical, mpb, violao"
0ecGwZA1ReAq4Mn3ZInaT4,4.0,30.42891,8.0,1.0,,,Happy Days,Marv Johnson,160040.0,0.72,0.624,F,-9.086,minor,0.0473,0.795,0.0,0.488,0.887,119.999,60s,motown
15gNqKkZN9Mq9AvnRqWJKb,4.0,47.08099,6.0,0.0,,,Carolina - Remastered 2006,Caetano Veloso,158413.0,0.545,0.22,D,-15.079,minor,0.0828,0.582,0.239,0.269,0.386,118.223,60s,"bossa nova, mpb, samba de roda, tropicalia"
1hcMfYTsRTC4hIKbfosxjz,4.0,43.36534,9.0,1.0,,,I Can Hear Music,The Beach Boys,157293.0,0.511,0.603,D,-7.637,major,0.028,0.0385,1.67e-06,0.142,0.685,128.336,60s,"baroque pop, classic rock, folk rock, mellow gold, psychedelic rock, rock, sunshine pop"
6Rt6SJijLoLxTYwGX73JMQ,4.0,35.90329,7.0,0.0,,,"The Aftermath (From ""Stagecoach"")",Jerry Goldsmith,177387.0,0.491,0.0675,A# / Bb,-17.096,major,0.0606,0.826,0.519,0.134,0.122,124.986,60s,"classic soundtrack, orchestral soundtrack, soundtrack"
1nxSCulSg5AtmExqgHPPC0,4.0,37.54527,9.0,1.0,,,Ride Away,Roy Orbison,207573.0,0.52,0.411,A,-12.411,major,0.0315,0.786,0.0012,0.146,0.35,120.29,60s,"adult standards, classic rock, folk rock, mellow gold, rock-and-roll, rockabilly, singer-songwriter"
1IFkSZaIT1j6O4GO6N3Pqd,4.0,49.41165,6.0,0.0,,,Caboclo Nordestino,Luiz Gonzaga,134507.0,0.717,0.565,D,-8.606,minor,0.0283,0.451,0.0,0.108,0.961,100.757,60s,"accordion, baiao, bossa nova, forro tradicional, mpb, samba"
3vfNUZeVUiwWXwsEXjagqL,4.0,78.59848,5.0,1.0,,,P.T. 109,Jimmy Dean,192427.0,0.746,0.666,D,-10.408,major,0.146,0.543,0.0,0.0488,0.84,94.024,60s,"classic country pop, nashville sound"
4HnfN3T1gJ88zmHiafIYcW,4.0,57.17076,8.0,1.0,,,Bye Bye Baby,Mary Wells,169133.0,0.598,0.448,E,-14.978,minor,0.0399,0.832,0.471,0.588,0.832,124.875,60s,"classic soul, motown, soul"
6ON2VernjxCS5z6lHdoGFl,4.0,48.36482,8.0,0.0,,,A Festa dos Seus 15 Anos,Leño,179600.0,0.521,0.396,F,-12.299,major,0.0463,0.576,0.000893,0.462,0.599,82.628,60s,
7CHmNiReghVLKbD032HHwz,4.0,18.25243,13.0,1.0,,,My Empty Arms,Jackie Wilson,172453.0,0.356,0.45,F# / Gb,-6.677,major,0.03,0.924,0.000206,0.128,0.313,74.4,60s,"chicago soul, classic soul, rock-and-roll, soul"
1NI44QQk2rKTSOqrm6eT0Q,4.0,76.04885,18.0,0.0,,,"Parsifal: ""Wehevolles Erbe, dem ich verfallen""",Staatskapelle Berlin,464533.0,0.147,0.246,C# / Db,-16.997,major,0.0504,0.964,0.115,0.113,0.0387,74.94,60s,"classical performance, german orchestra, orchestra"
2ePDfIXoP2HmC1hfsujb2J,4.0,18.90465,6.0,1.0,,,Let The Good Times Roll,Shirley & Lee,145653.0,0.502,0.445,C# / Db,-9.562,major,0.0688,0.481,0.0,0.0823,0.939,140.988,60s,"doo-wop, rhythm and blues"
1E5cZzKmVgLLJcLI6HPbn4,4.0,25.38117,13.0,1.0,,,I'm Here To Get My Baby Out Of Jail,The Everly Brothers,217907.0,0.48,0.225,D# / Eb,-15.402,major,0.031,0.78,0.0,0.0877,0.58,128.017,60s,"adult standards, folk rock, mellow gold, rock-and-roll, rockabilly, sunshine pop"
0l9RGwc48deJ6j61KXAAvs,4.0,21.60974,9.0,1.0,,,"Yester-Me, Yester-You, Yesterday",Stevie Wonder,185293.0,0.604,0.357,F# / Gb,-11.419,major,0.0269,0.0311,0.0,0.0927,0.638,100.721,60s,"motown, soul"
6ZUVIQacko5RG3R4AKH9vC,4.0,60.08926,6.0,0.0,,,"Dominica Prima Adventus. Alleluia, Ostende: VIII Mode",Traditional,175453.0,0.213,0.0581,G# / Ab,-22.425,minor,0.0487,0.982,0.69,0.167,0.0395,84.048,60s,"gregorian chant, hengelliset laulut, puirt-a-beul, sleep"
0X7N5udP0MTvfsikLHfHrR,4.0,70.51508,8.0,0.0,,,Montague Terrace (In Blue),Scott Walker,207293.0,0.427,0.14,A,-19.857,minor,0.034,0.549,1.03e-06,0.0443,0.293,137.787,60s,"baroque pop, chamber pop, experimental, experimental rock, melancholia, singer-songwriter"
3L1N3o2OiYgcyJUovwPl0p,4.0,49.09065,15.0,0.0,,,"Madama Butterfly, Act II: Or vienmi ad adornar (Suzuki, Butterfly)",Giacomo Puccini,335867.0,0.26,0.0248,E,-24.431,minor,0.0421,0.979,0.000378,0.228,0.0371,105.846,60s,"classical, italian opera, italian romanticism, post-romantic era"
39h384i9hij2H9Qtl9XUuu,4.0,32.41693,8.0,1.0,,,Mother-In-Law,Ernie K-Doe,153093.0,0.81,0.524,G,-9.77,minor,0.0339,0.77,1.03e-05,0.161,0.949,130.214,60s,"louisiana blues, new orleans blues, new orleans funk, new orleans soul, rhythm and blues"
4mmoOJwXcf0nEH0Z2wivAV,4.0,31.82922,9.0,1.0,,,Keep On Trying,Bobby Vee,158267.0,0.498,0.527,F,-9.263,major,0.0298,0.0789,0.0,0.571,0.868,123.042,60s,"adult standards, brill building pop, doo-wop, rock-and-roll, rockabilly"
