Genre,Count
rap,774
pop,614
hip hop,584
pop rap,525
dance pop,504
trap,493
r&b,444
southern hip hop,441
urban contemporary,411
contemporary r&b,324
soft rock,289
rock,283
dirty south rap,282
gangster rap,280
country,253
atl hip hop,250
country road,243
classic rock,239
hip pop,223
new wave pop,221
mellow gold,219
singer-songwriter,216
contemporary country,212
album rock,211
east coast hip hop,197
soul,192
hard rock,182
classic soul,179
country rock,177
disco,169
quiet storm,168
new jack swing,165
edm,156
new romantic,148
southern soul,144
funk,143
synthpop,142
folk rock,140
hardcore hip hop,135
alternative metal,135
pop dance,134
heartland rock,133
new wave,133
alternative rock,131
post-grunge,118
permanent wave,115
adult standards,115
glam metal,111
pop rock,110
melodic rap,108
motown,107
metal,105
post-disco,103
rock-and-roll,101
pop punk,101
classic country pop,100
nu metal,100
folk,100
doo-wop,99
blues rock,99
miami hip hop,99
bubblegum pop,94
punk,92
modern rock,89
post-teen pop,89
crunk,89
jazz,88
indietronica,88
canadian pop,87
neo soul,87
classical,86
mpb,85
yacht rock,85
filmi,84
electro house,81
british blues,81
west coast rap,80
conscious hip hop,80
classic garage rock,79
psychedelic rock,79
blues,78
chicago rap,75
urbano latino,75
latin pop,75
bossa nova,73
rhythm and blues,72
indie rock,70
reggaeton,70
old school atlanta hip hop,69
samba,69
opm,68
bebop,67
traditional blues,67
easy listening,67
country dawn,66
modern country rock,66
southern rock,65
art pop,64
neo mellow,64
freestyle,64
vocal jazz,63
neon pop punk,62
viral rap,62
melodic metalcore,62
queens hip hop,62
death metal,62
tropical house,61
g funk,61
rockabilly,60
electronica,60
speed metal,60
jazz funk,59
contemporary post-bop,59
black metal,58
jazz saxophone,58
lilith,58
p funk,58
old school hip hop,58
thrash metal,57
trap latino,57
chanson,56
compositional ambient,56
boy band,55
progressive rock,55
eurodance,55
classic uk pop,55
ranchera,54
hardcore punk,54
electric blues,54
pov: indie,53
hip house,52
philly soul,52
metalcore,52
art rock,51
power metal,51
girl group,51
power pop,51
dance rock,51
classic canadian rock,50
afropop,48
glam rock,48
nashville sound,48
post-punk,48
experimental rock,47
sophisti-pop,46
protopunk,46
british invasion,46
bluegrass,46
soundtrack,46
noise pop,46
trap queen,45
pinoy hip hop,45
velha guarda,45
brutal death metal,45
reggae fusion,45
post-hardcore,45
northern soul,44
jazz piano,44
merseybeat,44
brill building pop,44
banjo,43
jazz trumpet,43
contemporary classical,43
industrial metal,43
experimental,43
chicago soul,42
chamber pop,42
alt z,42
smooth jazz,42
german techno,42
chicago blues,42
britpop,41
detroit hip hop,41
emo,41
memphis soul,41
musica mexicana,41
new orleans rap,41
slap house,40
uk pop,40
canadian hip hop,40
avant-garde,40
progressive electro house,39
symphonic rock,39
big room,39
brostep,39
cantautor,39
neo-synthpop,39
screamo,39
uk post-punk,39
downtempo,38
uk dance,38
modern bollywood,38
indian classical,38
europop,38
electropop,38
piano rock,37
toronto rap,37
philly rap,37
early modern classical,37
trip hop,37
orchestral soundtrack,37
desi pop,37
progressive bluegrass,37
skate punk,37
old school thrash,36
deathcore,36
house,36
intelligent dance music,36
deathgrind,36
technical death metal,36
diva house,36
hard bop,36
classic oklahoma country,36
melancholia,36
cali rap,36
norteno,36
metropopolis,35
tagalog rap,35
symphonic metal,35
library music,35
golden age hip hop,34
ebm,34
ska,34
progressive house,33
beatlesque,33
alternative dance,33
country blues,33
dream pop,32
laboratorio,32
novelty,32
soul jazz,32
german metal,32
latin alternative,32
broadway,32
roots rock,32
minneapolis sound,32
garage rock,31
ambient,31
acoustic blues,31
memphis hip hop,31
outlaw country,31
australian rock,31
candy pop,31
reggae,31
vintage italian soundtrack,31
deep adult standards,30
free jazz,30
zolo,30
bronx hip hop,30
alternative r&b,30
crossover thrash,30
deep house,30
industrial rock,30
gospel,30
drone,30
shoegaze,30
latin hip hop,30
lounge,30
background music,30
industrial,29
pop r&b,29
dutch house,29
proto-rap,29
grunge,29
instrumental bluegrass,28
classic girl group,28
swing,28
instrumental rock,28
lo-fi,28
world,28
german dance,28
jazz guitar,28
glitch hop,28
ccm,27
funk metal,27
alternative hip hop,27
pagode,27
carnatic,27
christian music,27
gothic rock,27
american folk revival,27
avant-garde jazz,27
classic soundtrack,27
sunshine pop,27
krautrock,27
hardcore techno,26
vapor trap,26
western swing,26
hi-nrg,26
german pop,26
modern blues rock,26
harmonica blues,26
soul blues,26
rock en espanol,26
classic bollywood,26
dark wave,26
christian alternative rock,26
dixieland,26
movie tunes,26
jazz fusion,26
hardcore,25
indie pop rap,25
australian pop,25
roots reggae,25
ectofolk,25
jazz blues,25
funk rock,25
bubble trance,25
talent show,25
miami bass,25
jam band,25
new orleans jazz,25
baroque pop,25
classic house,25
viral pop,25
hollywood,25
australian dance,25
afrobeats,25
space age pop,24
minimalism,24
modern alternative rock,24
delta blues,24
modern blues,24
electro-industrial,24
canadian metal,24
british soul,24
argentine rock,24
grindcore,24
futurepop,24
post-romantic era,24
slowed and reverb,24
worship,24
mexican rock,23
classic texas country,23
dfw rap,23
stomp and holler,23
indonesian viral pop,23
christian metal,23
progressive metal,23
french rock,23
black thrash,23
outsider,23
harlem hip hop,23
idol,23
pop nacional antigas,23
surf music,23
dancehall,23
trova,23
deep disco,23
nu jazz,23
indie soul,22
emo rap,22
freakbeat,22
cyberpunk,22
focus,22
aggrotech,22
dance-punk,22
cool jazz,22
atmosphere,22
funk carioca,22
lo-fi beats,22
noise rock,22
chicago punk,22
banda,22
complextro,22
canadian singer-songwriter,22
salsa,22
djent,22
nueva cancion,21
nyhc,21
acousmatic,21
swedish metal,21
show tunes,21
hands up,21
pub rock,21
oakland hip hop,21
french pop,21
bolero,21
ecm-style jazz,20
escape room,20
jazz trio,20
brazilian jazz,20
trance,20
new rave,20
mexican rock-and-roll,20
mexican pop,20
doom metal,20
spanish new wave,20
minimal wave,20
louisiana blues,20
rap metal,20
bboy,20
electronic trap,20
chicano rap,19
covertronica,19
nigerian pop,19
pop edm,19
canadian rock,19
rocksteady,19
acoustic pop,19
gothic metal,19
arkansas country,19
afrobeat,19
big band,19
pixie,19
symphonic black metal,19
british folk,19
wonky,19
atl trap,19
american contemporary classical,19
experimental pop,19
nederpop,19
j-pop,19
future garage,19
chicago house,19
groove metal,19
bluegrass gospel,18
underground power pop,18
meme rap,18
fourth world,18
comic,18
orgcore,18
ye ye,18
nova canco,18
pop emo,18
french soundtrack,18
jazz rap,18
mambo,18
proto-metal,18
german power metal,18
viral trap,18
boston rock,18
acid house,18
spiritual jazz,18
indie pop,18
late romantic era,18
chillhop,18
spanish pop,18
austindie,18
battle rap,17
latin rock,17
brega,17
electrofox,17
norwegian metal,17
k-pop,17
puerto rican pop,17
folk punk,17
political hip hop,17
electro,17
traditional country,17
st louis rap,17
british soundtrack,17
j-rock,17
melodic hardcore,17
jangle pop,17
psychobilly,17
vintage french electronic,17
pinoy r&b,17
violao,17
filter house,16
jovem guarda,16
21st century classical,16
melodic death metal,16
grupera,16
anime,16
new americana,16
no wave,16
flamenco,16
new jersey rap,16
vocal house,16
barbadian pop,16
poetry,16
straight edge,16
us power metal,16
country gospel,16
gabber,16
bow pop,16
jazztronica,16
norwegian black metal,16
memphis blues,16
ohio hip hop,16
florida rap,16
hammond organ,16
easycore,15
instrumental soul,15
steampunk,15
ska punk,15
celtic rock,15
ghazal,15
vintage jazz,15
deep talent show,15
latin jazz,15
canadian indie,15
dutch edm,15
madchester,15
classic thai pop,15
deep soft rock,15
british jazz,15
shred,15
pinoy trap,15
funk mtg,15
torch song,15
greek metal,15
neofolk,15
polish jazz,15
houston rap,15
canadian contemporary r&b,15
electro swing,15
spytrack,15
crust punk,15
dub,15
carnatic instrumental,15
lgbtq+ hip hop,15
jazz organ,15
virginia hip hop,15
folk-pop,14
post-metal,14
minimal techno,14
instrumental funk,14
north carolina hip hop,14
acid rock,14
cosmic american,14
danspunk,14
carnatic vocal,14
rare groove,14
blackgaze,14
epicore,14
atlanta bass,14
instrumental surf,14
brazilian rock,14
tropical,14
neo classical metal,14
calypso,14
neo-psychedelic,14
alternative country,14
swamp rock,14
gothic symphonic metal,14
emo punk,14
abstract,14
orchestra,14
tennessee hip hop,14
danish metal,14
new orleans blues,14
new orleans soul,14
ska revival,14
spanish metal,14
british experimental,14
rap rock,14
anarcho-punk,14
avant-garde metal,14
swedish pop,14
german rock,14
stoner rock,13
rumba,13
proto-techno,13
grave wave,13
tropicalia,13
country pop,13
futuristic swag,13
canadian punk,13
future funk,13
underground hip hop,13
asmr,13
filthstep,13
boogaloo,13
birmingham metal,13
vocal harmony group,13
mollywood,13
tape club,13
footwork,13
desi hip hop,13
instrumental hip hop,13
south carolina hip hop,13
colombian pop,13
dutch rock,13
indie poptimism,13
piedmont blues,13
swedish electropop,13
acid jazz,13
comic metal,13
dark cabaret,13
stoner metal,13
mariachi,13
canadian country,13
moombahton,13
classic french pop,13
cancion melodica,13
glitch,13
solo wave,13
afrofuturism,13
power-pop punk,12
bedroom pop,12
samba-rock,12
neoclassical darkwave,12
