danceability_x,energy_x,key,loudness_x,mode,speechiness_x,acousticness_x,instrumentalness_x,liveness_x,valence_x,tempo_x,duration_ms,time_signature_x,chorus_hit_x,sections_x,target_x,track_seconds_x,m_index,danceability_y,energy_y,loudness_y,speechiness_y,acousticness_y,instrumentalness_y,liveness_y,valence_y,tempo_y,time_signature_y,chorus_hit_y,sections_y,track_seconds_y,row_num,target_y,y_pred,y_pred_prob
0.52,0.411,A,-12.411,major,0.0315,0.786,0.0012,0.146,0.35,120.29,207573,4,37.54527,9,1,207.573,11,0.52,0.411,-12.411,0.0315,0.786,0.0012,0.146,0.35,120.29,4,37.54527,9,207.573,3558,1,0.0,0.495920387856803
0.521,0.396,F,-12.299,major,0.0463,0.576,0.000893,0.462,0.599,82.628,179600,4,48.36482,8,0,179.6,15,0.521,0.396,-12.299,0.0463,0.576,0.000893,0.462,0.599,82.628,4,48.36482,8,179.6,753,0,1.0,0.7123958177572713
0.147,0.246,C# / Db,-16.997,major,0.0504,0.964,0.115,0.113,0.0387,74.94,464533,4,76.04885,18,0,464.533,18,0.147,0.246,-16.997,0.0504,0.964,0.115,0.113,0.0387,74.94,4,76.04885,18,464.533,1892,0,0.0,0.5458656089861866
0.427,0.14,A,-19.857,minor,0.034,0.549,1.03e-06,0.0443,0.293,137.787,207293,4,70.51508,8,0,207.293,23,0.427,0.14,-19.857,0.034,0.549,1.03e-06,0.0443,0.293,137.787,4,70.51508,8,207.293,1513,0,0.0,0.007833701531097623
0.431,0.551,C# / Db,-12.732,major,0.0526,0.885,0.875,0.128,0.64,79.14,219240,4,23.24725,13,0,219.24,29,0.431,0.551,-12.732,0.0526,0.885,0.875,0.128,0.64,79.14,4,23.24725,13,219.24,5392,0,0.0,0.03221871379152866
0.357,0.216,D# / Eb,-12.833,major,0.0343,0.767,4.31e-06,0.531,0.283,119.57,222733,4,37.34774,10,1,222.733,32,0.357,0.216,-12.833,0.0343,0.767,4.31e-06,0.531,0.283,119.57,4,37.34774,10,222.733,4955,1,0.0,0.014442946059576876
0.519,0.422,E,-8.732,major,0.0282,0.864,0.0,0.332,0.803,128.956,147227,4,30.01333,9,1,147.227,39,0.519,0.422,-8.732,0.0282,0.864,0.0,0.332,0.803,128.956,4,30.01333,9,147.227,4564,1,0.0,0.2765863923328285
0.721,0.137,C# / Db,-22.806,major,0.952,0.934,0.0001,0.128,0.495,86.454,106867,4,62.04209,4,0,106.867,45,0.721,0.137,-22.806,0.952,0.934,0.0001,0.128,0.495,86.454,4,62.04209,4,106.867,4969,0,1.0,0.7094288716051673
0.597,0.365,D,-12.031,minor,0.0794,0.458,0.0,0.438,0.782,127.97,159133,4,53.1298,8,0,159.133,46,0.597,0.365,-12.031,0.0794,0.458,0.0,0.438,0.782,127.97,4,53.1298,8,159.133,5663,0,1.0,0.7688157763117706
0.668,0.835,C,-0.507,minor,0.0341,0.0941,1.17e-06,0.116,0.821,125.228,145293,4,20.93334,9,1,145.293,68,0.668,0.835,-0.507,0.0341,0.0941,1.17e-06,0.116,0.821,125.228,4,20.93334,9,145.293,1220,1,0.0,0.37752862689350497
